parent,psc,desc,net,breadth,n_years,span,latest_end,idv
Mission First Solutions,7030,INFORMATION TECHNOLOGY SOFTWAR,930158.0,1,1,0,2021,0
Minburn,7030,INFORMATION TECHNOLOGY SOFTWAR,925200.0,1,1,0,2021,0
The Daston,7030,INFORMATION TECHNOLOGY SOFTWAR,925148.0,1,1,0,2020,0
Andromeda,7030,INFORMATION TECHNOLOGY SOFTWAR,920156.44,1,1,0,2021,0
Epsilon Solutions,6605,NAVIGATIONAL INSTRUMENTS,919983.75,1,1,0,2025,0
Satcom Direct Government,5895,MISCELLANEOUS COMMUNICATION EQ,919960.43,1,1,0,2016,0
Koam Engineering,5895,MISCELLANEOUS COMMUNICATION EQ,919861.85,1,1,0,2021,0
International Business Machines,R499,SUPPORT- PROFESSIONAL: OTHER,914799.96,1,1,0,2017,0
Avum,D301,IT AND TELECOM- FACILITY OPERA,913603.2,1,1,0,2015,0
Lockheed Martin,7030,INFORMATION TECHNOLOGY SOFTWAR,912728.0,1,1,0,2015,0
Viasat,7F20,IT AND TELECOM - IT MANAGEMENT,912000.0,1,1,0,2024,0
Westwind Computer Products,5895,MISCELLANEOUS COMMUNICATION EQ,911225.0,1,1,0,2020,0
Chand L L C,2090,MISCELLANEOUS SHIP AND MARINE ,908544.55,1,1,0,2024,0
Four,7F20,IT AND TELECOM - IT MANAGEMENT,908021.0700000001,3,3,2,2023,0
Logistic Services International,D308,IT AND TELECOM- PROGRAMMING,907027.99,1,1,0,2015,0
Previstar,7030,INFORMATION TECHNOLOGY SOFTWAR,902452.3999999999,2,2,1,2017,0
Four,D319,IT AND TELECOM- ANNUAL SOFTWAR,900355.24,3,2,1,2020,0
Anacapa Micro Products,7030,INFORMATION TECHNOLOGY SOFTWAR,899425.96,1,1,0,2021,0
Devine Consulting,R425,SUPPORT- PROFESSIONAL: ENGINEE,896538.0,1,1,0,2021,0
Cellco Partnership,5895,MISCELLANEOUS COMMUNICATION EQ,889898.89,1,1,0,2015,0
Orbit Advanced,5865,"ELECTRONIC COUNTERMEASURES, CO",889249.66,1,1,0,2019,0
Delphinus Engineering,1905,COMBAT SHIPS AND LANDING VESSE,887867.9,2,2,11,2025,0
Hii Fleet Support,1940,SMALL CRAFT,887652.0,2,2,2,2020,0
Seaark Marine,1940,SMALL CRAFT,885683.9,1,1,0,2007,0
Dell Marketing L P,7E20,IT and Telecom - End User: Hel,885036.0,2,2,1,2022,0
Alutiiq Security,D399,IT AND TELECOM- OTHER IT AND T,883999.68,1,1,0,2017,0
Fourinox,2090,MISCELLANEOUS SHIP AND MARINE ,883160.0,1,1,0,2015,0
Caci Nss,7030,INFORMATION TECHNOLOGY SOFTWAR,879703.2,2,2,1,2016,0
Nv5 Geospatial Solutions,D319,IT AND TELECOM- ANNUAL SOFTWAR,876375.36,1,1,0,2019,0
Helix,5820,RADIO AND TELEVISION COMMUNICA,874580.02,1,1,0,2017,0
Rockwell Collins,6605,NAVIGATIONAL INSTRUMENTS,866161.9199999999,9,7,8,2024,0
Satellite Communication,D304,IT AND TELECOM- TELECOMMUNICAT,864846.33,1,1,0,2016,0
Information Solutions,D399,IT AND TELECOM- OTHER IT AND T,863120.23,1,1,0,2019,0
Jetechnology Solutions,1450,GUIDED MISSILE HANDLING AND SE,862947.79,1,1,0,2017,0
Decypher,D399,IT AND TELECOM- OTHER IT AND T,862761.0,1,1,0,2021,0
Guidehouse,D318,IT AND TELECOM- INTEGRATED HAR,859600.0,1,1,0,2016,0
Ensign Bickford Aerospace Defense,1370,PYROTECHNICS,859416.0,1,1,0,2019,0
Argotec,6605,NAVIGATIONAL INSTRUMENTS,857275.5,1,1,0,2015,0
Science Applications International,5820,RADIO AND TELEVISION COMMUNICA,856945.04,1,1,0,2018,0
Victory Global Solutions,D399,IT AND TELECOM- OTHER IT AND T,856074.71,1,1,0,2019,0
Management,D399,IT AND TELECOM- OTHER IT AND T,854991.66,1,1,0,2020,0
Software Information Resource,5895,MISCELLANEOUS COMMUNICATION EQ,846666.93,1,1,0,2025,0
Trellisware,5820,RADIO AND TELEVISION COMMUNICA,843761.0,1,1,0,2015,0
L3Harris,5841,"RADAR EQUIPMENT, AIRBORNE",833040.6799999999,7,6,10,2024,0
Coronet Machinery,1340,"ROCKETS, ROCKET AMMUNITION AND",832223.8,4,3,3,2019,0
Intellectechs,D399,IT AND TELECOM- OTHER IT AND T,825437.4,1,1,0,2025,0
Six3 Advanced,5841,"RADAR EQUIPMENT, AIRBORNE",824900.0,1,1,0,2018,0
Countertrade Products,5810,COMMUNICATIONS SECURITY EQUIPM,821999.0,5,4,10,2025,0
Cognosante Cds,R499,SUPPORT- PROFESSIONAL: OTHER,817925.88,1,1,0,2016,0
Elbit,6605,NAVIGATIONAL INSTRUMENTS,816025.15,1,1,0,2014,0
Analytica,7030,INFORMATION TECHNOLOGY SOFTWAR,811311.15,2,2,2,2019,0
Photonis Defense,5841,"RADAR EQUIPMENT, AIRBORNE",808275.0,3,3,3,2022,0
Innovatus Consulting,DB02,IT AND TELECOM - COMPUTE SUPPO,803000.0,1,1,0,2026,0
International Transducer,5845,UNDERWATER SOUND EQUIPMENT,800452.0,5,2,1,2016,0
Keysight,5865,"ELECTRONIC COUNTERMEASURES, CO",800000.0,1,1,0,2021,0
Sechan Electronics,5895,MISCELLANEOUS COMMUNICATION EQ,798436.0,1,1,0,2018,0
Four,D399,IT AND TELECOM- OTHER IT AND T,798122.79,1,1,0,2016,0
L3,5985,"ANTENNAS, WAVEGUIDES, AND RELA",794155.0,3,2,2,2026,0
Gnostech,J070,MAINT/REPAIR/REBUILD OF EQUIPM,793698.34,1,1,0,2015,0
Tyto Government Solutions,D307,IT AND TELECOM- IT STRATEGY AN,792240.88,1,1,0,2011,0
Na Alii Consulting Sales,D399,IT AND TELECOM- OTHER IT AND T,789526.46,1,1,0,2020,0
Network Simulation,U008,EDUCATION/TRAINING- TRAINING/C,788660.53,1,1,0,2020,0
Thundercat,5895,MISCELLANEOUS COMMUNICATION EQ,787932.75,1,1,0,2020,0
Cox California Telcom,D399,IT AND TELECOM- OTHER IT AND T,787172.8,1,1,0,2022,0
Joiner,2090,MISCELLANEOUS SHIP AND MARINE ,786276.02,2,2,8,2017,0
Leonardo S P A,5895,MISCELLANEOUS COMMUNICATION EQ,786240.0,1,1,0,2026,0
Countertrade Products,5820,RADIO AND TELEVISION COMMUNICA,783434.3900000001,3,2,4,2025,0
Sailplan Maritime,1905,COMBAT SHIPS AND LANDING VESSE,782000.0,1,1,0,2029,0
Mcallister Towing And Transportation,1990,MISCELLANEOUS VESSELS,781032.22,41,5,4,2020,0
Teledyne Instruments,6605,NAVIGATIONAL INSTRUMENTS,780023.0,7,3,2,2019,0
Ma Federal,5895,MISCELLANEOUS COMMUNICATION EQ,779550.8,1,1,0,2018,0
Epoch Concepts,5810,COMMUNICATIONS SECURITY EQUIPM,778014.98,2,2,1,2019,0
Redhawk It Services Jv,D399,IT AND TELECOM- OTHER IT AND T,776318.8,1,1,0,2023,0
Spectra,1375,DEMOLITION MATERIALS,775280.34,2,1,0,2019,0
Bi Solutions,7030,INFORMATION TECHNOLOGY SOFTWAR,773997.4,1,1,0,2015,0
Aechelon,7A21,IT AND TELECOM - BUSINESS APPL,773879.55,1,1,0,2024,0
Steelcloud,7030,INFORMATION TECHNOLOGY SOFTWAR,771164.3,3,2,1,2020,0
Sotera Defense Solutions,J059,MAINT/REPAIR/REBUILD OF EQUIPM,770000.0,1,1,0,2016,0
Amtec,1310,"AMMUNITION, OVER 30MM UP TO 75",765814.0,1,1,0,2025,0
Sterling Computers,5810,COMMUNICATIONS SECURITY EQUIPM,765632.1500000001,9,6,9,2025,0
Metova Federal,D399,IT AND TELECOM- OTHER IT AND T,765119.4,1,1,0,2023,0
Serco,2090,MISCELLANEOUS SHIP AND MARINE ,759167.99,1,1,0,2023,0
Real Time Innovations,W070,LEASE OR RENTAL OF EQUIPMENT- ,757845.0,1,1,0,2019,0
Fairlead Boatworks,1905,COMBAT SHIPS AND LANDING VESSE,754158.9,2,2,1,2021,0
Vidoori,D399,IT AND TELECOM- OTHER IT AND T,749008.0,1,1,0,2017,0
Carahsoft,7050,INFORMATION TECHNOLOGY COMPONE,746648.6,2,2,1,2017,0
Northrop Grumman,H214,EQUIPMENT AND MATERIALS TESTIN,743699.91,1,1,0,2026,0
Fisica Applied,5895,MISCELLANEOUS COMMUNICATION EQ,742256.14,1,1,0,2025,0
Trace3 Government,5810,COMMUNICATIONS SECURITY EQUIPM,740658.99,2,1,0,2027,0
Atlantic Diving Supply,7030,INFORMATION TECHNOLOGY SOFTWAR,740195.18,1,1,0,2019,0
Mythics,R425,SUPPORT- PROFESSIONAL: ENGINEE,738996.0,2,1,0,2017,0
Blackboard,7035,INFORMATION TECHNOLOGY SUPPORT,738144.08,1,1,0,2017,0
Symetrics Industries,6605,NAVIGATIONAL INSTRUMENTS,737464.32,1,1,0,2018,0
Clear Science,D308,IT AND TELECOM- PROGRAMMING,736428.0,1,1,0,2018,0
Tiax,5895,MISCELLANEOUS COMMUNICATION EQ,735914.56,1,1,0,2003,0
Solipsys,7030,INFORMATION TECHNOLOGY SOFTWAR,734854.0,2,2,6,2022,0
V T Tooling,2090,MISCELLANEOUS SHIP AND MARINE ,734034.72,3,3,2,2018,0
Countertrade Products,5826,"RADIO NAVIGATION EQUIPMENT, AI",732915.17,1,1,0,2020,0
Carahsoft,DE10,IT and Telecom - End User as a,731613.26,1,1,0,2025,0
Vigor Works,1905,COMBAT SHIPS AND LANDING VESSE,731019.83,1,1,0,2021,0
Unique Communications Solutions,5895,MISCELLANEOUS COMMUNICATION EQ,728845.51,1,1,0,2020,0
Triad Partners,7030,INFORMATION TECHNOLOGY SOFTWAR,728577.08,1,1,0,2017,0
Virginia Electronic,2090,MISCELLANEOUS SHIP AND MARINE ,727889.01,1,1,0,2025,0
Geo Comm,N058,INSTALLATION OF EQUIPMENT- COM,721287.84,1,1,0,2013,0
Mi,5820,RADIO AND TELEVISION COMMUNICA,720963.06,1,1,0,2020,0
Griffon Aerospace,1550,UNMANNED AIRCRAFT,720664.0,1,1,0,2015,0
Schoellhorn Albrecht Machine,2090,MISCELLANEOUS SHIP AND MARINE ,718800.0,1,1,0,2023,0
New Tech Solutions,5826,"RADIO NAVIGATION EQUIPMENT, AI",716753.3,1,1,0,2019,0
Aechelon,7030,INFORMATION TECHNOLOGY SOFTWAR,714800.0,1,1,0,2019,0
BAE Systems,3590,MISCELLANEOUS SERVICE AND TRAD,714128.0,1,1,0,2016,0
Essnova Solutions,7A21,IT AND TELECOM - BUSINESS APPL,711328.45,1,1,0,2025,0
Mountain State Software Solutions,9930,MEMORIALS; CEMETERIAL AND MORT,708764.97,2,2,1,2021,0
Remington Arms,1305,"AMMUNITION, THROUGH 30MM",707893.8,2,2,1,2015,0
Veteran Information,7030,INFORMATION TECHNOLOGY SOFTWAR,705953.22,1,1,0,2019,0
Foster Miller,1905,COMBAT SHIPS AND LANDING VESSE,703813.0,1,1,0,2015,0
Hosted Records,Q801,MEDICAL APPOINTING SERVICES,703136.33,1,1,0,2023,0
Trace3 Government,7030,INFORMATION TECHNOLOGY SOFTWAR,702259.71,1,1,0,2024,0
BAE Systems,D319,IT AND TELECOM- ANNUAL SOFTWAR,701994.72,1,1,0,2017,0
Alliance,D399,IT AND TELECOM- OTHER IT AND T,699215.01,1,1,0,2019,0
L3,7030,INFORMATION TECHNOLOGY SOFTWAR,697800.0,1,1,0,2015,0
Kevadiya,D302,IT AND TELECOM- SYSTEMS DEVELO,696444.0,1,1,0,2016,0
Dlt Solutions,7025,INFORMATION TECHNOLOGY INPUT/O,696259.72,1,1,0,2016,0
Viasat,5810,COMMUNICATIONS SECURITY EQUIPM,695450.0,3,3,4,2022,0
Engility Services,5895,MISCELLANEOUS COMMUNICATION EQ,694141.0,1,1,0,2020,0
Directviz Solutions,D303,IT AND TELECOM- DATA ENTRY,688265.28,1,1,0,2022,0
R F Manufacturing,1055,"LAUNCHERS, ROCKET AND PYROTECH",686814.25,1,1,0,2022,0
General Dynamics,1325,BOMBS,686378.32,1,1,0,2021,0
Hii Mission,7030,INFORMATION TECHNOLOGY SOFTWAR,682851.65,1,1,0,2016,0
Akira,7030,INFORMATION TECHNOLOGY SOFTWAR,680832.71,1,1,0,2017,0
General Dynamics,D308,IT AND TELECOM- PROGRAMMING,680388.0,1,1,0,2020,0
Nw Bend Boats,1940,SMALL CRAFT,678337.97,1,1,0,2017,0
Metrostar,D399,IT AND TELECOM- OTHER IT AND T,678024.84,1,1,0,2018,0
Chenega Logistics,D399,IT AND TELECOM- OTHER IT AND T,673629.67,1,1,0,2017,0
Kongsberg,6605,NAVIGATIONAL INSTRUMENTS,673282.5,6,3,3,2017,0
Ai2,DA01,IT AND TELECOM - BUSINESS APPL,673064.41,1,1,0,2025,0
Ten International,AC24,NATIONAL DEFENSE R&D SERVICES;,672930.55,2,2,2,2023,0
Flycast Partners,D318,IT AND TELECOM- INTEGRATED HAR,672748.0,1,1,0,2021,0
Kbr Wyle Services,AC23,NATIONAL DEFENSE R&D SERVICES;,671826.57,1,1,0,2010,0
Mercom,7030,INFORMATION TECHNOLOGY SOFTWAR,670129.55,1,1,0,2018,0
Quasonix,5895,MISCELLANEOUS COMMUNICATION EQ,668552.0,1,1,0,2016,0
Reyna Information Services,D399,IT AND TELECOM- OTHER IT AND T,666240.0,1,1,0,2016,0
Stargates,DA01,IT AND TELECOM - BUSINESS APPL,665873.04,1,1,0,2027,0
Pacific Ic Source,5810,COMMUNICATIONS SECURITY EQUIPM,664250.0,1,1,0,2023,0
Govplace,7030,INFORMATION TECHNOLOGY SOFTWAR,662617.67,1,1,0,2019,0
Arcsoft Consulting,R499,SUPPORT- PROFESSIONAL: OTHER,661819.26,1,1,0,2021,0
Mercury,5895,MISCELLANEOUS COMMUNICATION EQ,659571.44,1,1,0,2021,0
Innovasystems International,D302,IT AND TELECOM- SYSTEMS DEVELO,658045.0,3,3,3,2023,0
Ewing Electronics,5820,RADIO AND TELEVISION COMMUNICA,657952.75,1,1,0,2018,0
Dynamic,7030,INFORMATION TECHNOLOGY SOFTWAR,652192.33,1,1,0,2019,0
Hii Mission,1550,UNMANNED AIRCRAFT,651283.37,3,2,1,2020,0
Environmental Research Institute,7E20,IT and Telecom - End User: Hel,651093.75,2,2,4,2025,0
Hydronalix,AS42,TRANSPORTATION R&D SVCS; PIPEL,649862.16,1,1,0,2022,0
Offshore Aviation,1550,UNMANNED AIRCRAFT,647543.6799999999,2,1,0,2021,0
Primagraphics,5895,MISCELLANEOUS COMMUNICATION EQ,646763.67,1,1,0,2018,0
Fedtribe,1550,UNMANNED AIRCRAFT,643999.65,1,1,0,2026,0
Boston Dynamics,D399,IT AND TELECOM- OTHER IT AND T,643863.52,1,1,0,2010,0
Thomas Jenkins,1940,SMALL CRAFT,642000.0,1,1,0,2020,0
Professional Contract Services,2090,MISCELLANEOUS SHIP AND MARINE ,641193.21,1,1,0,2025,0
Blackboard,7B20,IT AND TELECOM - HIGH PERFORMA,635028.0,1,1,0,2023,0
Rolls Royce Marine North America,D302,IT AND TELECOM- SYSTEMS DEVELO,633907.15,1,1,0,2008,0
Enghouse Interactive,D399,IT AND TELECOM- OTHER IT AND T,632310.0,2,2,4,2019,0
Infotech Innovations,D399,IT AND TELECOM- OTHER IT AND T,628979.93,1,1,0,2017,0
Tecport Solutions,D399,IT AND TELECOM- OTHER IT AND T,628612.8,1,1,0,2016,0
Sierra Nevada,1680,MISCELLANEOUS AIRCRAFT ACCESSO,628256.04,1,1,0,2016,0
3H Federal,D399,IT AND TELECOM- OTHER IT AND T,627812.99,1,1,0,2017,0
Manu Kai,D399,IT AND TELECOM- OTHER IT AND T,627743.08,1,1,0,2019,0
Arrow Electronics,5895,MISCELLANEOUS COMMUNICATION EQ,626860.0,1,1,0,2018,0
Defender Industries,1940,SMALL CRAFT,626519.42,1,1,0,2017,0
Sterling Computers,5820,RADIO AND TELEVISION COMMUNICA,625549.6,1,1,0,2017,0
Tim Price,5895,MISCELLANEOUS COMMUNICATION EQ,624582.0,1,1,0,2017,0
Laurel Partnership,5841,"RADAR EQUIPMENT, AIRBORNE",623993.0,1,1,0,2019,0
The Mathworks,D319,IT AND TELECOM- ANNUAL SOFTWAR,623235.84,2,2,2,2020,0
Axseum Solutions,R408,SUPPORT- PROFESSIONAL: PROGRAM,621878.67,1,1,0,2011,0
Teledyne Brown Engineering,1925,SPECIAL SERVICE VESSELS,620998.44,1,1,0,2022,0
Qwaltec,L099,TECHNICAL REPRESENTATIVE- MISC,620420.0,1,1,0,2017,0
Canadian Commercial,DC01,IT AND TELECOM - DATA CENTER S,618013.92,1,1,0,2026,0
Orbital Sciences,AC23,NATIONAL DEFENSE R&D SERVICES;,615886.69,2,2,1,2012,0
Steelstran Industries,2090,MISCELLANEOUS SHIP AND MARINE ,614608.43,4,2,2,2023,0
Research Electronics International L L C,5865,"ELECTRONIC COUNTERMEASURES, CO",614584.0,1,1,0,2017,0
Rodelco Electronics,5895,MISCELLANEOUS COMMUNICATION EQ,611750.0,1,1,0,2018,0
Ocean Products Research,2090,MISCELLANEOUS SHIP AND MARINE ,611202.5,4,3,2,2024,0
Cp Marine,DA01,IT AND TELECOM - BUSINESS APPL,610000.0,1,1,0,2027,0
Vae,7030,INFORMATION TECHNOLOGY SOFTWAR,608879.54,1,1,0,2020,0
Technical Communities,5810,COMMUNICATIONS SECURITY EQUIPM,601935.96,3,3,2,2017,0
Cornerturn,5845,UNDERWATER SOUND EQUIPMENT,600000.0,1,1,0,2019,0
Spn Solutions,DA10,IT AND TELECOM - BUSINESS APPL,596885.76,1,1,0,2026,0
Koniag It,DA01,IT AND TELECOM - BUSINESS APPL,596622.0,1,1,0,2026,0
Zdaas,7B22,IT AND TELECOM - COMPUTE: SERV,594549.4,1,1,0,2021,0
Bk Manufacturing,1355,"TORPEDOS AND COMPONENTS, INERT",593034.0,1,1,0,2020,0
Disti,6930,OPERATION TRAINING DEVICES,592400.0,1,1,0,2019,0
Mendenhall Technical Services,2040,MARINE HARDWARE AND HULL ITEMS,590000.0,1,1,0,2017,0
Teledyne,7030,INFORMATION TECHNOLOGY SOFTWAR,588912.0,1,1,0,2016,0
Kongsberg,7030,INFORMATION TECHNOLOGY SOFTWAR,584800.0,2,2,1,2016,0
Nexgen Data,5810,COMMUNICATIONS SECURITY EQUIPM,584138.78,1,1,0,2014,0
T Mobile,D399,IT AND TELECOM- OTHER IT AND T,583652.68,1,1,0,2023,0
Lgs Innovations,5895,MISCELLANEOUS COMMUNICATION EQ,583035.05,1,1,0,2017,0
Ultra Electronics Advanced Tactical,7030,INFORMATION TECHNOLOGY SOFTWAR,583024.0,1,1,0,2016,0
Nts Technical,5865,"ELECTRONIC COUNTERMEASURES, CO",581488.0,1,1,0,2025,0
Goodrich,1905,COMBAT SHIPS AND LANDING VESSE,579384.6699999999,5,2,1,2015,0
Natstar Defense,4730,"HOSE, PIPE, TUBE, LUBRICATION,",576166.0,1,1,0,2026,0
Mercury,5841,"RADAR EQUIPMENT, AIRBORNE",575988.0,1,1,0,2018,0
Qrc,5810,COMMUNICATIONS SECURITY EQUIPM,575508.36,2,1,0,2015,0
Geislinger,1905,COMBAT SHIPS AND LANDING VESSE,570580.76,1,1,0,2018,0
Lintech Global,D399,IT AND TELECOM- OTHER IT AND T,568962.34,1,1,0,2015,0
Mcs Of Tampa,7030,INFORMATION TECHNOLOGY SOFTWAR,568344.0,1,1,0,2021,0
Management Engineering,R409,PROGRAM REVIEW/DEVELOPMENT SER,566222.12,1,1,0,2006,0
Bahfed,7030,INFORMATION TECHNOLOGY SOFTWAR,565207.5,1,1,0,2021,0
Ma Federal,5810,COMMUNICATIONS SECURITY EQUIPM,563825.1599999999,5,3,2,2018,0
Fcn,5820,RADIO AND TELEVISION COMMUNICA,563543.14,1,1,0,2019,0
Sytronics,J016,MAINT/REPAIR/REBUILD OF EQUIPM,562729.0,1,1,0,2016,0
Federal Defense Solutions,7025,INFORMATION TECHNOLOGY INPUT/O,560499.0,1,1,0,2019,0
BAE Systems,6910,TRAINING AIDS,557623.22,1,1,0,2017,0
Hosted Records,R499,SUPPORT- PROFESSIONAL: OTHER,555173.56,1,1,0,2026,0
Argon St,5895,MISCELLANEOUS COMMUNICATION EQ,552788.0,1,1,0,2025,0
M C Dean,5895,MISCELLANEOUS COMMUNICATION EQ,552344.58,1,1,0,2028,0
Spideroak,7030,INFORMATION TECHNOLOGY SOFTWAR,550729.0,2,2,2,2017,0
Peraton,R617,SUPPORT – ADMINISTRATIVE: ELEC,549480.84,1,1,0,2026,0
Junoventure,7030,INFORMATION TECHNOLOGY SOFTWAR,549207.8,1,1,0,2017,0
Bowhead Operations Maintenance Solutions,2090,MISCELLANEOUS SHIP AND MARINE ,547811.18,1,1,0,2019,0
Vpc Solutions,D399,IT AND TELECOM- OTHER IT AND T,545676.0,1,1,0,2018,0
Trinity Information L L C,AC12,NATIONAL DEFENSE R&D SERVICES;,545135.44,1,1,0,2024,0
Christoforou Paul,5895,MISCELLANEOUS COMMUNICATION EQ,542789.08,1,1,0,2016,0
Hgw And Associates,U099,EDUCATION/TRAINING- OTHER,540483.95,1,1,0,2018,0
Hgw And Associates,D319,IT AND TELECOM- ANNUAL SOFTWAR,540261.53,1,1,0,2021,0
George Consulting,7030,INFORMATION TECHNOLOGY SOFTWAR,537631.25,1,1,0,2019,0
Fairbanks Morse,2090,MISCELLANEOUS SHIP AND MARINE ,536775.75,4,3,2,2025,0
Redhawk It Solutions,7030,INFORMATION TECHNOLOGY SOFTWAR,535992.0,1,1,0,2022,0
Searobotics,1990,MISCELLANEOUS VESSELS,535000.0,1,1,0,2018,0
Codelynx,R499,SUPPORT- PROFESSIONAL: OTHER,534995.44,1,1,0,2015,0
Ducommun Labarge,6605,NAVIGATIONAL INSTRUMENTS,533770.0,1,1,0,2026,0
M C Dean,D399,IT AND TELECOM- OTHER IT AND T,531170.11,1,1,0,2018,0
Dell Federal L P,D302,IT AND TELECOM- SYSTEMS DEVELO,531026.76,1,1,0,2011,0
Narda,5895,MISCELLANEOUS COMMUNICATION EQ,529356.0,1,1,0,2018,0
A3,2010,SHIP AND BOAT PROPULSION COMPO,529312.4,1,1,0,2024,0
Technical Communities,7G22,IT AND TELECOM - NETWORK: SATE,527376.94,1,1,0,2021,0
The Molding,2090,MISCELLANEOUS SHIP AND MARINE ,526539.92,3,2,2,2019,0
Serco,7030,INFORMATION TECHNOLOGY SOFTWAR,525678.53,1,1,0,2020,0
Xerox,D399,IT AND TELECOM- OTHER IT AND T,521429.32,1,1,0,2018,0
Kvh Industries,DF10,IT AND TELECOM - IT MANAGEMENT,521120.0,1,1,0,2026,0
Pentagon 2000 Software,7030,INFORMATION TECHNOLOGY SOFTWAR,520929.47,1,1,0,2018,0
Roselm Industries,5865,"ELECTRONIC COUNTERMEASURES, CO",518694.0,1,1,0,2020,0
Palomar Products,5826,"RADIO NAVIGATION EQUIPMENT, AI",518456.0,2,1,0,2022,0
Westwind Computer Products,5810,COMMUNICATIONS SECURITY EQUIPM,517490.24,2,2,2,2022,0
Transource Services,5820,RADIO AND TELEVISION COMMUNICA,517322.32,1,1,0,2017,0
Dynamic,D319,IT AND TELECOM- ANNUAL SOFTWAR,517017.65,1,1,0,2016,0
Immixgroup,7030,INFORMATION TECHNOLOGY SOFTWAR,516185.19,1,1,0,2017,0
Palomar Products,5865,"ELECTRONIC COUNTERMEASURES, CO",515300.0,1,1,0,2015,0
Piping International,2090,MISCELLANEOUS SHIP AND MARINE ,514564.97,3,1,0,2016,0
Teledyne Uk Limited,5865,"ELECTRONIC COUNTERMEASURES, CO",514500.0,1,1,0,2020,0
General Electric,2090,MISCELLANEOUS SHIP AND MARINE ,512288.8,1,1,0,2015,0
Alvarez,5810,COMMUNICATIONS SECURITY EQUIPM,510114.89999999997,3,2,4,2021,0
Applied Mathematics,1905,COMBAT SHIPS AND LANDING VESSE,510000.0,1,1,0,2015,0
Secure Mission Solutions,D302,IT AND TELECOM- SYSTEMS DEVELO,509519.1,1,1,0,2013,0
Tkc Global Solutions,7030,INFORMATION TECHNOLOGY SOFTWAR,505758.08,1,1,0,2019,0
4 Star,5810,COMMUNICATIONS SECURITY EQUIPM,504492.13,2,1,0,2024,0
L3,7K20,IT AND TELECOM - STORAGE PRODU,503830.71,1,1,0,2025,0
No Magic,7E20,IT and Telecom - End User: Hel,502699.0,1,1,0,2022,0
Musa Productions,5895,MISCELLANEOUS COMMUNICATION EQ,500000.0,1,1,0,2017,0
Alvarez,D399,IT AND TELECOM- OTHER IT AND T,499941.8,1,1,0,2018,0
Environmental Research Institute,D307,IT AND TELECOM- IT STRATEGY AN,499775.25,1,1,0,2020,0
Microtechnologies,5820,RADIO AND TELEVISION COMMUNICA,499590.29,1,1,0,2018,0
Carahsoft,7B20,IT AND TELECOM - HIGH PERFORMA,499416.06,1,1,0,2023,0
Rockwell Collins,1410,GUIDED MISSILES,499148.3,1,1,0,2025,0
Networking Engineering,D399,IT AND TELECOM- OTHER IT AND T,498886.48,1,1,0,2015,0
E A S Manufacturing,5865,"ELECTRONIC COUNTERMEASURES, CO",498676.18,1,1,0,2019,0
Joint Tactics And,5810,COMMUNICATIONS SECURITY EQUIPM,498554.52,1,1,0,2020,0
Evanhoe Associates,D399,IT AND TELECOM- OTHER IT AND T,498543.63,1,1,0,2020,0
Merrill,5865,"ELECTRONIC COUNTERMEASURES, CO",497596.0,1,1,0,2019,0
Dell Marketing L P,W070,LEASE OR RENTAL OF EQUIPMENT- ,497329.92,1,1,0,2021,0
Ds Government Solutions,7030,INFORMATION TECHNOLOGY SOFTWAR,496259.6,1,1,0,2020,0
Lyme Computer,7021,INFORMATION TECHNOLOGY CENTRAL,496125.0,1,1,0,2019,0
Blackboard,7045,INFORMATION TECHNOLOGY SUPPLIE,495598.79,1,1,0,2016,0
Red River,D399,IT AND TELECOM- OTHER IT AND T,494845.8,1,1,0,2016,0
Navhouse,6605,NAVIGATIONAL INSTRUMENTS,494500.0,2,1,0,2015,0
Ideal Instrument,5845,UNDERWATER SOUND EQUIPMENT,493596.0,8,6,10,2025,0
West Publishing,7030,INFORMATION TECHNOLOGY SOFTWAR,491778.4,1,1,0,2021,0
Gps Source,5895,MISCELLANEOUS COMMUNICATION EQ,487200.0,1,1,0,2025,0
Oroday,D399,IT AND TELECOM- OTHER IT AND T,486661.37,1,1,0,2019,0
University Of California San Diego,5845,UNDERWATER SOUND EQUIPMENT,486055.0,1,1,0,2022,0
Seebyte Limited,7025,INFORMATION TECHNOLOGY INPUT/O,485000.0,1,1,0,2019,0
Concise,5895,MISCELLANEOUS COMMUNICATION EQ,483991.66,1,1,0,2020,0
Impres Solutions,5810,COMMUNICATIONS SECURITY EQUIPM,482840.94,1,1,0,2026,0
General Dynamics,1055,"LAUNCHERS, ROCKET AND PYROTECH",482487.5,1,1,0,2019,0
Environmental Research Institute,7A20,IT AND TELECOM - APPLICATION D,481831.04,1,1,0,2023,0
It Federal Sales,7030,INFORMATION TECHNOLOGY SOFTWAR,480000.0,1,1,0,2015,0
Bmj Publishing Limited,7030,INFORMATION TECHNOLOGY SOFTWAR,479568.0,1,1,0,2016,0
Globe Composite Solutions,5895,MISCELLANEOUS COMMUNICATION EQ,479333.26,1,1,0,2018,0
Ansys Government Initiatives,D319,IT AND TELECOM- ANNUAL SOFTWAR,478089.0,1,1,0,2019,0
Telecom Italia Spa,D399,IT AND TELECOM- OTHER IT AND T,477383.03,1,1,0,2015,0
Cubic Defense Applications,5826,"RADIO NAVIGATION EQUIPMENT, AI",474089.0,1,1,0,2022,0
